[00:00:02] [Speaker A]  我是路博迈基金公司的王经理。
[00:00:02] [Speaker B]  你们的公司在哪里？
[00:00:03] [Speaker A]  路博迈基金公司在上海市长宁区石门一路288号台湾兴业中心二座7楼705-722室。
[00:00:05] [Speaker B]  你们有哪些产品？
[00:00:06] [Speaker A]  路博迈基金公司的产品包括路博迈中国计遇和路播麦护航十年持有债券。
复制
[00:00:08] [Speaker B]  这两款产品有什么特点？
[00:00:10] [Speaker A]  路博迈中国机遇是一只股票型基金，主要投资于中国经济转型中具有高增长潜力的优质企业，适合看好中国经济长期发展的投资者。路博迈护航一年持有债券则是一只稳健型的债券基金，注重资产的稳健增值，适合风险偏好较低的投资者。
[00:00:12] [Speaker B]  那收益率怎么样？
[00:00:14] [Speaker A]  基金的收益率会受到市场环境和投资组合的影响。路博迈中国机遇的长期年化收益率在10%左右，但短期波动可能会比较大。路博迈护航一年持有债券的年化收益率一般在4%-6%，相对稳定。
[00:00:16] [Speaker B]  投资门槛是多少？
[00:00:18] [Speaker A]  路博迈中国机遇的起投金额是10万元，路博迈护航一年持有债券的起投金额是5万元。不过，具体的投资门槛可能会根据不同的销售渠道有所调整。
